"Step","training-starcoder2-3b-python-text_only - train/sft_loss","training-starcoder2-3b-python-text_only - train/sft_loss__MIN","training-starcoder2-3b-python-text_only - train/sft_loss__MAX","training-starcoder2-3b-python-formal_sft - train/sft_loss","training-starcoder2-3b-python-formal_sft - train/sft_loss__MIN","training-starcoder2-3b-python-formal_sft - train/sft_loss__MAX","training-starcoder2-3b-python - train/iwae_loss","training-starcoder2-3b-python - train/iwae_loss__MIN","training-starcoder2-3b-python - train/iwae_loss__MAX"
"65","1.1908435821533203","1.1908435821533203","1.1908435821533203","0.7576820850372314","0.7576820850372314","0.7576820850372314","0.6878945231437683","0.6878945231437683","0.6878945231437683"
"66","0.873165488243103","0.873165488243103","0.873165488243103","1.425270915031433","1.425270915031433","1.425270915031433","0.752409815788269","0.752409815788269","0.752409815788269"
"67","1.0991910696029663","1.0991910696029663","1.0991910696029663","0.9317915439605713","0.9317915439605713","0.9317915439605713","0.6504147052764893","0.6504147052764893","0.6504147052764893"
"68","1.2717684507369995","1.2717684507369995","1.2717684507369995","0.9604567289352417","0.9604567289352417","0.9604567289352417","0.4488441050052643","0.4488441050052643","0.4488441050052643"
"69","0.8531556129455566","0.8531556129455566","0.8531556129455566","0.9490920305252075","0.9490920305252075","0.9490920305252075","0.6602321267127991","0.6602321267127991","0.6602321267127991"
"70","0.8908932209014893","0.8908932209014893","0.8908932209014893","1.0185102224349976","1.0185102224349976","1.0185102224349976","0.6994566321372986","0.6994566321372986","0.6994566321372986"
"71","0.9542659521102905","0.9542659521102905","0.9542659521102905","1.2559012174606323","1.2559012174606323","1.2559012174606323","0.5860523581504822","0.5860523581504822","0.5860523581504822"
"72","1.0489095449447632","1.0489095449447632","1.0489095449447632","1.3512638807296753","1.3512638807296753","1.3512638807296753","0.7125797271728516","0.7125797271728516","0.7125797271728516"
"73","0.7121165990829468","0.7121165990829468","0.7121165990829468","0.7218899726867676","0.7218899726867676","0.7218899726867676","0.8291414976119995","0.8291414976119995","0.8291414976119995"
"74","0.7763963937759399","0.7763963937759399","0.7763963937759399","1.2370747327804565","1.2370747327804565","1.2370747327804565","0.685367226600647","0.685367226600647","0.685367226600647"
"75","0.7841691970825195","0.7841691970825195","0.7841691970825195","1.0859217643737793","1.0859217643737793","1.0859217643737793","0.6663135290145874","0.6663135290145874","0.6663135290145874"
"76","0.7361582517623901","0.7361582517623901","0.7361582517623901","1.061767816543579","1.061767816543579","1.061767816543579","0.9903146028518677","0.9903146028518677","0.9903146028518677"
"77","1.096617579460144","1.096617579460144","1.096617579460144","1.103733777999878","1.103733777999878","1.103733777999878","0.7812108993530273","0.7812108993530273","0.7812108993530273"
"78","0.5803961753845215","0.5803961753845215","0.5803961753845215","1.1650872230529785","1.1650872230529785","1.1650872230529785","0.7195848822593689","0.7195848822593689","0.7195848822593689"
"79","0.7532334923744202","0.7532334923744202","0.7532334923744202","0.9636533260345459","0.9636533260345459","0.9636533260345459","0.48325666785240173","0.48325666785240173","0.48325666785240173"
"80","1.3986167907714844","1.3986167907714844","1.3986167907714844","1.4725784063339233","1.4725784063339233","1.4725784063339233","0.6474390029907227","0.6474390029907227","0.6474390029907227"
"81","0.8797098994255066","0.8797098994255066","0.8797098994255066","0.8700621724128723","0.8700621724128723","0.8700621724128723","0.6913288235664368","0.6913288235664368","0.6913288235664368"
"82","1.0902670621871948","1.0902670621871948","1.0902670621871948","0.942090630531311","0.942090630531311","0.942090630531311","0.8636307120323181","0.8636307120323181","0.8636307120323181"
"83","0.6904103755950928","0.6904103755950928","0.6904103755950928","0.6957154273986816","0.6957154273986816","0.6957154273986816","0.5929924249649048","0.5929924249649048","0.5929924249649048"
"84","0.8668584823608398","0.8668584823608398","0.8668584823608398","1.2004226446151733","1.2004226446151733","1.2004226446151733","0.428264856338501","0.428264856338501","0.428264856338501"
"85","0.6952185034751892","0.6952185034751892","0.6952185034751892","0.8022134900093079","0.8022134900093079","0.8022134900093079","0.8919274806976318","0.8919274806976318","0.8919274806976318"
"86","1.1219556331634521","1.1219556331634521","1.1219556331634521","1.0171442031860352","1.0171442031860352","1.0171442031860352","0.6400979161262512","0.6400979161262512","0.6400979161262512"
"87","0.7963447570800781","0.7963447570800781","0.7963447570800781","1.0543794631958008","1.0543794631958008","1.0543794631958008","0.8212482929229736","0.8212482929229736","0.8212482929229736"
"88","1.118153691291809","1.118153691291809","1.118153691291809","1.1793971061706543","1.1793971061706543","1.1793971061706543","0.5197389125823975","0.5197389125823975","0.5197389125823975"
"89","1.1352689266204834","1.1352689266204834","1.1352689266204834","1.1862386465072632","1.1862386465072632","1.1862386465072632","0.8038650155067444","0.8038650155067444","0.8038650155067444"
"90","1.0857629776000977","1.0857629776000977","1.0857629776000977","1.071944236755371","1.071944236755371","1.071944236755371","1.0009905099868774","1.0009905099868774","1.0009905099868774"
"91","0.7343763113021851","0.7343763113021851","0.7343763113021851","0.908677339553833","0.908677339553833","0.908677339553833","0.7416597604751587","0.7416597604751587","0.7416597604751587"
"92","1.3719571828842163","1.3719571828842163","1.3719571828842163","1.0154839754104614","1.0154839754104614","1.0154839754104614","0.7373855113983154","0.7373855113983154","0.7373855113983154"
"93","0.9452031850814819","0.9452031850814819","0.9452031850814819","0.859245240688324","0.859245240688324","0.859245240688324","0.4691089391708374","0.4691089391708374","0.4691089391708374"
"94","0.9762415885925293","0.9762415885925293","0.9762415885925293","1.184648036956787","1.184648036956787","1.184648036956787","0.7339702844619751","0.7339702844619751","0.7339702844619751"
"95","0.9239799380302429","0.9239799380302429","0.9239799380302429","1.0706814527511597","1.0706814527511597","1.0706814527511597","0.428713321685791","0.428713321685791","0.428713321685791"
"96","0.7386596202850342","0.7386596202850342","0.7386596202850342","0.7433617115020752","0.7433617115020752","0.7433617115020752","0.6558406352996826","0.6558406352996826","0.6558406352996826"
"97","0.7325055599212646","0.7325055599212646","0.7325055599212646","1.0020673274993896","1.0020673274993896","1.0020673274993896","0.7529861927032471","0.7529861927032471","0.7529861927032471"
